date of purchase,book TITLE,price of  book ,qty of book ,after cut charges paybele
16-06-2021,"U.P- TGT EXAM , SAMPURN SHARIRIK SHIKSHA (PHYSIC",500,1,300
16-06-2021,"U.P- TGT EXAM , SAMPURN SHARIRIK SHIKSHA (PHYSIC",500,1,300
16-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
16-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
16-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
16-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
16-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
16-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
16-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
16-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
16-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
16-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
16-06-2021,Physical Education Universe (Book for all Competitive Exams),500,1,350
16-06-2021,Physical Education Universe (Book for all Competitive Exams),500,1,350
16-06-2021,"Physical Education and Sports Science (Book for All Competitive Exams D.S.S.S.B., K.V.S., N.V",700,1,500
16-06-2021,Physical Education - UGC - Net Digest (Second Revised and Updated,2100,1,1500
16-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
16-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
16-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
16-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
16-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
16-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
16-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
16-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
16-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
16-06-2021,Physical Education and Sports Science (Book for All Competitive,700,1,500
16-06-2021,BE AN OUTSTANDING COMPANY SECRETARY [Paperback,200,1,150
16-06-2021,Physical Education Universe (Book for all Competitive Exams),500,1,350
16-06-2021,Physical Education Universe (Book for all Competitive Exams),500,1,350
16-06-2021,Physical Education Universe (Book for all Competitive Exams),500,1,350
16-06-2021,Physical Education and Sports Science (Book for All Competitive,700,1,500
16-06-2021,DSSSB Physical Education Competitive Examination Book (5000+MCQs / Previous Year Solved Papers) [Paperback] [20,800,1,500
16-06-2021,Physical Education Universe (Book for all Competitive Exams),500,1,350
16-06-2021,Physical Education A Key to Success (Specially for UGC Net As Per,750,1,500
16-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
16-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
16-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
16-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
16-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
17-06-2021,"U.P- TGT EXAM , SAMPURN SHARIRIK SHIKSHA (PHYSIC",500,1,300
17-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
17-06-2021,"U.P- TGT EXAM , SAMPURN SHARIRIK SHIKSHA (PHYSIC",500,1,300
17-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
17-06-2021,Fundamentals of Physical Education (A book for all Physical Education,700,1,500
17-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
17-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
